epoch;Dice;loss;lr;precision;recall;val_Dice;val_loss;val_precision;val_recall
0;0.4824366271495819;0.4268762767314911;1e-04;0.8807743787765503;0.8807743787765503;0.5200517177581787;0.3660738468170166;0.9722203016281128;0.9722203016281128
1;0.5159640908241272;0.24465642869472504;9.9859964e-05;0.9738097190856934;0.9738097190856934;0.5288249850273132;0.28723740577697754;0.9643685817718506;0.9643685817718506
2;0.6433342099189758;0.20178191363811493;9.971983e-05;0.9747506976127625;0.9747506976127625;0.4989427626132965;0.2746870219707489;0.9513112306594849;0.9513112306594849
3;0.6801048517227173;0.18153372406959534;9.9579614e-05;0.9757543802261353;0.9757543802261353;0.6509092450141907;0.2091827243566513;0.9725638031959534;0.9725638031959534
4;0.691254734992981;0.17038670182228088;9.943931e-05;0.9771342873573303;0.9771342873573303;0.5350775122642517;0.22867442667484283;0.9730495810508728;0.9730495810508728
5;0.7007175087928772;0.16258485615253448;9.929894e-05;0.9767830967903137;0.9767830967903137;0.5648780465126038;0.2216322273015976;0.9720411896705627;0.9720411896705627
6;0.7041273713111877;0.1597934365272522;9.9158475e-05;0.976265013217926;0.976265013217926;0.6463432908058167;0.17511966824531555;0.9830243587493896;0.9830243587493896
7;0.7150190472602844;0.1544213742017746;9.9017925e-05;0.9761909246444702;0.9761909246444702;0.5736043453216553;0.21818231046199799;0.9765998125076294;0.9765998125076294
8;0.7294158935546875;0.14420455694198608;9.887729e-05;0.9801807999610901;0.9801807999610901;0.5588343739509583;0.2390104979276657;0.9717358946800232;0.9717358946800232
9;0.7198567986488342;0.1440030336380005;9.873657e-05;0.9806122183799744;0.9806122183799744;0.7383039593696594;0.15547147393226624;0.9736014604568481;0.9736014604568481
10;0.724970281124115;0.14578551054000854;9.859577e-05;0.9792857766151428;0.9792857766151428;0.6440485119819641;0.19337701797485352;0.9793787598609924;0.9793787598609924
11;0.7293164134025574;0.1381048858165741;9.845487e-05;0.98137366771698;0.98137366771698;0.659288227558136;0.17397859692573547;0.975868284702301;0.975868284702301
12;0.736125111579895;0.13679900765419006;9.831388e-05;0.9806923866271973;0.9806923866271973;0.7042838335037231;0.161510169506073;0.974195122718811;0.974195122718811
13;0.7413290143013;0.14382727444171906;9.817281e-05;0.9760936498641968;0.9760936498641968;0.6109464168548584;0.2315252274274826;0.9694918990135193;0.9694918990135193
14;0.7285687923431396;0.1356772631406784;9.803166e-05;0.981553316116333;0.981553316116333;0.6764766573905945;0.1835271418094635;0.9771512746810913;0.9771512746810913
15;0.7331751585006714;0.13555923104286194;9.789042e-05;0.9802557229995728;0.9802557229995728;0.7343088984489441;0.15932874381542206;0.975974440574646;0.975974440574646
16;0.74143385887146;0.13448810577392578;9.774909e-05;0.9817506074905396;0.9817506074905396;0.6716578006744385;0.18644088506698608;0.9778198599815369;0.9778198599815369
17;0.7483645677566528;0.1333254873752594;9.760768e-05;0.9790179133415222;0.9790179133415222;0.7467668652534485;0.14364060759544373;0.9773972630500793;0.9773972630500793
18;0.7459064722061157;0.13050025701522827;9.746617e-05;0.9803370237350464;0.9803370237350464;0.6740092635154724;0.15984371304512024;0.9820013642311096;0.9820013642311096
19;0.7407659292221069;0.13922543823719025;9.732458e-05;0.9779645800590515;0.9779645800590515;0.7121855020523071;0.1527811586856842;0.9787218570709229;0.9787218570709229
20;0.7381588816642761;0.1320827156305313;9.718289e-05;0.9801008105278015;0.9801008105278015;0.7400864362716675;0.15217337012290955;0.9794449210166931;0.9794449210166931
21;0.7516443133354187;0.12781651318073273;9.704113e-05;0.9808585047721863;0.9808585047721863;0.7465913891792297;0.13797135651111603;0.9774140119552612;0.9774140119552612
22;0.7528546452522278;0.13047553598880768;9.689927e-05;0.9803493618965149;0.9803493618965149;0.7053424119949341;0.15287546813488007;0.9833166599273682;0.9833166599273682
23;0.7514878511428833;0.1308349072933197;9.675732e-05;0.9787160754203796;0.9787160754203796;0.6408244967460632;0.20609942078590393;0.973652720451355;0.973652720451355
24;0.7528812289237976;0.1294017881155014;9.661529e-05;0.9793038368225098;0.9793038368225098;0.7417176961898804;0.14469994604587555;0.9750860333442688;0.975085973739624
25;0.7541348934173584;0.1257142871618271;9.647316e-05;0.9808278679847717;0.9808278679847717;0.7257472276687622;0.1642325073480606;0.970095157623291;0.970095157623291
26;0.758855938911438;0.12582062184810638;9.633095e-05;0.9808579087257385;0.9808579087257385;0.7535396218299866;0.13870711624622345;0.9822677969932556;0.9822677969932556
27;0.7610610723495483;0.12784908711910248;9.618864e-05;0.9794682860374451;0.9794682860374451;0.7694600224494934;0.12133100628852844;0.9799312353134155;0.9799312353134155
28;0.7488256692886353;0.12470711022615433;9.604624e-05;0.9809489846229553;0.9809489846229553;0.6213701367378235;0.23042401671409607;0.9717947840690613;0.9717947840690613
29;0.7586699724197388;0.12762655317783356;9.590376e-05;0.9793853759765625;0.9793853759765625;0.7635010480880737;0.13553760945796967;0.9794082045555115;0.9794082045555115
30;0.7610786557197571;0.12712234258651733;9.576118e-05;0.9792049527168274;0.9792049527168274;0.6428658366203308;0.22167402505874634;0.9721285700798035;0.9721285700798035
31;0.7625857591629028;0.12603385746479034;9.561851e-05;0.9795960783958435;0.9795960783958435;0.7041236758232117;0.16126830875873566;0.9769982099533081;0.9769982099533081
32;0.7536250352859497;0.13003583252429962;9.547575e-05;0.9804596900939941;0.9804596900939941;0.736911416053772;0.13932625949382782;0.9809860587120056;0.9809860587120056
33;0.7571012377738953;0.12415459007024765;9.53329e-05;0.9804808497428894;0.9804808497428894;0.7944689989089966;0.13550439476966858;0.9714452624320984;0.9714452624320984
34;0.753380537033081;0.12485998868942261;9.518995e-05;0.9812673330307007;0.9812673330307007;0.7712558507919312;0.14531494677066803;0.9787085056304932;0.9787085056304932
35;0.7643805146217346;0.11917956918478012;9.504692e-05;0.9834168553352356;0.9834168553352356;0.7467324733734131;0.14084415137767792;0.9718626141548157;0.9718626141548157
36;0.7570145726203918;0.1281338632106781;9.490379e-05;0.9791772365570068;0.9791772365570068;0.7485207915306091;0.1355706751346588;0.9790154099464417;0.9790154099464417
